longitude,latitude,ObsEasting,ObsNorthing,ObsUpwarding,CalcEasting,CalcNorthing,CalcUpwarding
(deg),(deg),(m),(m),(m),(m),(m),(m)
     130.637356,      31.552221,       0.019600,       0.008800,       0.005000,       0.021838,       0.003745,      -0.002869
     138.516369,      37.348539,       0.391600,       0.018700,       0.018100,       0.582507,      -0.032578,       0.001749
     140.384907,      35.243243,       0.060000,      -0.030300,      -0.036200,       0.164296,      -0.000192,      -0.092566
     136.278945,      36.145619,       0.117100,       0.024000,      -0.014300,       0.177995,       0.012852,       0.002824
     133.461802,      33.818357,       0.035300,       0.012200,      -0.022900,       0.050059,       0.007900,      -0.003138
     143.615670,      44.219722,      -0.002200,       0.000600,      -0.034300,       0.012106,      -0.009080,      -0.033033
     141.345959,      43.240529,       0.049200,      -0.036500,       0.001400,       0.065501,      -0.076092,      -0.026220
     139.210938,      34.333121,       0.009400,       0.005700,       0.025400,       0.065950,       0.016922,      -0.051586
     140.964501,      39.701092,       0.999600,      -0.757500,       0.018500,       1.672927,      -0.833537,      -0.139495
     139.957373,      38.759721,       1.101400,      -0.361400,       0.037200,       1.377653,      -0.414044,      -0.021897
     133.308532,      35.164574,       0.034900,       0.004800,      -0.007400,       0.073720,       0.006560,       0.002085
     131.798065,      33.239436,       0.015500,       0.018400,       0.008100,       0.036733,       0.005430,      -0.001807
     138.609974,      35.117152,       0.059700,       0.017900,      -0.012300,       0.165844,       0.041932,      -0.041749
     140.490767,      41.185078,       0.173600,      -0.178400,       0.024700,       0.389554,      -0.317414,      -0.012083
     142.264529,      44.365127,      -0.015500,       0.009100,      -0.008400,       0.025347,      -0.028076,      -0.025770
     133.280914,      33.468401,       0.020400,       0.005700,      -0.018300,       0.043926,       0.007325,      -0.003716
     141.426128,      39.639369,       1.264700,      -1.004700,      -0.045300,       2.427506,      -1.200895,      -0.435097
     123.795847,      24.061499,      -0.006500,       0.008500,       0.002200,       0.004482,       0.000739,      -0.001703
     143.103257,      42.699268,       0.012600,      -0.011500,       0.008500,       0.031505,      -0.029894,      -0.058964
     131.286041,      33.977713,       0.032800,       0.021600,      -0.035700,       0.042468,       0.004776,       0.000297
     129.125512,      33.255790,       0.010100,      -0.000200,      -0.002100,       0.029693,       0.003201,       0.000367
     132.013558,      34.571063,       0.027500,       0.006200,      -0.013700,       0.053169,       0.005217,       0.001213
     137.174145,      35.612086,       0.093300,       0.028100,       0.018300,       0.177197,       0.025614,      -0.010214
     139.972663,      37.669288,       1.137700,      -0.053200,      -0.029500,       1.463268,      -0.161723,      -0.145539
     138.939326,      34.698904,       0.039200,       0.015000,       0.011900,       0.107017,       0.030422,      -0.048894
     134.997234,      34.804917,       0.042500,       0.011800,      -0.011200,       0.084138,       0.012238,      -0.003289
     137.154474,      36.757950,       0.169700,       0.032300,       0.007000,       0.283534,       0.005413,       0.007083
     136.062827,      35.318975,       0.067100,       0.000700,       0.014300,       0.122625,       0.017014,      -0.004422
     142.265247,      44.728496,      -0.003800,      -0.012100,       0.004100,       0.022035,      -0.024045,      -0.023044
     139.726422,      36.401847,       0.405600,       0.083700,      -0.039000,       0.825448,      -0.006760,      -0.185997
     133.058654,      35.433875,       0.046300,       0.010600,       0.013700,       0.075910,       0.005222,       0.003446
     144.431936,      42.963261,       0.007500,       0.009100,      -0.010400,       0.003706,       0.006315,      -0.053278
     130.699403,      31.496152,       0.029300,       0.004800,       0.034400,       0.021556,       0.003732,      -0.002987
     139.020252,      37.319871,       0.525600,       0.024300,       0.012500,       0.747804,      -0.044191,      -0.022179
     139.974889,      35.002792,       0.024900,       0.015000,      -0.010300,       0.123104,       0.028693,      -0.084973
     143.076819,      44.191942,      -0.006900,       0.004900,      -0.011200,       0.017609,      -0.016845,      -0.031673
     136.504924,      35.984908,       0.095500,       0.040500,       0.023100,       0.177748,       0.016343,      -0.000179
     139.137575,      34.239914,       0.010900,       0.013500,      -0.011400,       0.060909,       0.015314,      -0.049121
     141.652028,      43.220894,      -0.000300,      -0.038900,      -0.012200,       0.058583,      -0.069234,      -0.030616
     137.868762,      35.160451,       0.068400,       0.026200,      -0.007300,       0.154750,       0.032844,      -0.024814
